 
河北央视频道,#genre#
北京卫视,http://171.8.168.31:8800/udp/239.16.10.10:2000
山东卫视,http://1.196.154.235:2000/udp/239.16.10.14:2000
山东卫视,http://1.192.40.23:8888/udp/239.16.10.14:2000
山东卫视,http://171.8.168.31:8800/udp/239.16.10.14:2000
天津卫视,http://1.196.154.235:2000/udp/239.16.10.30:2000
天津卫视,http://171.8.168.31:8800/udp/239.16.10.30:2000
天津卫视,http://1.192.40.23:8888/udp/239.16.10.30:2000
贵州卫视,http://1.196.154.235:2000/udp/239.16.10.15:2000
贵州卫视,http://171.8.168.31:8800/udp/239.16.10.15:2000
贵州卫视,http://1.192.40.23:8888/udp/239.16.10.15:2000
四川卫视,http://1.192.40.23:8888/udp/239.16.10.20:2000
四川卫视,http://171.8.168.31:8800/udp/239.16.10.20:2000
四川卫视,http://1.196.154.235:2000/udp/239.16.10.20:2000
云南卫视,http://1.192.40.23:8888/udp/239.16.10.19:2000
云南卫视,http://171.8.168.31:8800/udp/239.16.10.19:2000
云南卫视,http://1.196.154.235:2000/udp/239.16.10.19:2000
广西卫视,http://1.192.40.23:8888/udp/239.16.10.18:2000
广西卫视,http://1.196.154.235:2000/udp/239.16.10.18:2000
广西卫视,http://171.8.168.31:8800/udp/239.16.10.18:2000
黑龙江卫视,http://171.8.168.31:8800/udp/239.16.10.105:2000
黑龙江卫视,http://1.196.154.235:2000/udp/239.16.10.105:2000
黑龙江卫视,http://1.192.40.23:8888/udp/239.16.10.105:2000
安徽卫视,http://171.8.168.31:8800/udp/239.16.10.9:2000
安徽卫视,http://1.196.154.235:2000/udp/239.16.10.9:2000
安徽卫视,http://1.192.40.23:8888/udp/239.16.10.9:2000
山西卫视,http://1.192.40.23:8888/udp/239.16.10.24:2000
山西卫视,http://1.196.154.235:2000/udp/239.16.10.24:2000
山西卫视,http://171.8.168.31:8800/udp/239.16.10.24:2000
江西卫视,http://1.192.40.23:8888/udp/239.16.10.23:2000
江西卫视,http://1.196.154.235:2000/udp/239.16.10.23:2000
江西卫视,http://171.8.168.31:8800/udp/239.16.10.23:2000
湖北卫视,http://171.8.168.31:8800/udp/239.16.10.21:2000
湖北卫视,http://1.192.40.23:8888/udp/239.16.10.21:2000
湖北卫视,http://1.196.154.235:2000/udp/239.16.10.21:2000
陕西卫视,http://171.8.168.31:8800/udp/239.16.10.17:2000
陕西卫视,http://1.196.154.235:2000/udp/239.16.10.17:2000
陕西卫视,http://1.192.40.23:8888/udp/239.16.10.17:2000
东南卫视,http://1.192.40.23:8888/udp/239.16.10.16:2000
东南卫视,http://1.196.154.235:2000/udp/239.16.10.16:2000
东南卫视,http://171.8.168.31:8800/udp/239.16.10.16:2000
吉林卫视,http://1.196.154.235:2000/udp/239.16.10.28:2000
吉林卫视,http://1.192.40.23:8888/udp/239.16.10.28:2000
吉林卫视,http://171.8.168.31:8800/udp/239.16.10.28:2000
辽宁卫视,http://171.8.168.31:8800/udp/239.16.10.29:2000
辽宁卫视,http://1.196.154.235:2000/udp/239.16.10.29:2000
辽宁卫视,http://1.192.40.23:8888/udp/239.16.10.29:2000
内蒙古卫视,http://171.8.168.31:8800/udp/239.16.10.25:2000
内蒙古卫视,http://1.196.154.235:2000/udp/239.16.10.25:2000
内蒙古卫视,http://1.192.40.23:8888/udp/239.16.10.25:2000
湖南卫视,http://1.192.40.23:8888/udp/239.16.10.6:2000
湖南卫视,http://1.196.154.235:2000/udp/239.16.10.6:2000
湖南卫视,http://171.8.168.31:8800/udp/239.16.10.6:2000
广东卫视,http://171.8.168.31:8800/udp/239.16.10.104:2000
广东卫视,http://1.192.40.23:8888/udp/239.16.10.104:2000
广东卫视,http://1.196.154.235:2000/udp/239.16.10.104:2000
河南卫视,http://1.192.40.23:8888/udp/239.16.10.119:2000
河南卫视,http://171.8.168.31:8800/udp/239.16.10.119:2000
河南卫视,http://1.196.154.235:2000/udp/239.16.10.119:2000
河北卫视,http://1.192.40.23:8888/udp/239.16.10.22:2000
河北卫视,http://171.8.168.31:8800/udp/239.16.10.22:2000
河北卫视,http://1.196.154.235:2000/udp/239.16.10.22:2000
宁夏卫视,http://1.192.40.23:8888/udp/239.16.10.26:2000
宁夏卫视,http://1.196.154.235:2000/udp/239.16.10.26:2000
宁夏卫视,http://171.8.168.31:8800/udp/239.16.10.26:2000
甘肃卫视,http://1.192.40.23:8888/udp/239.16.10.114:2000
甘肃卫视,http://171.8.168.31:8800/udp/239.16.10.114:2000
甘肃卫视,http://1.196.154.235:2000/udp/239.16.10.114:2000
青海卫视,http://1.196.154.235:2000/udp/239.16.10.107:2000
青海卫视,http://171.8.168.31:8800/udp/239.16.10.107:2000
青海卫视,http://1.192.40.23:8888/udp/239.16.10.107:2000
新疆卫视,http://1.196.154.235:2000/udp/239.16.10.27:2000
新疆卫视,http://171.8.168.31:8800/udp/239.16.10.27:2000
新疆卫视,http://1.192.40.23:8888/udp/239.16.10.27:2000
西藏卫视,http://1.192.40.23:8888/udp/239.16.10.106:2000
西藏卫视,http://171.8.168.31:8800/udp/239.16.10.106:2000
西藏卫视,http://1.196.154.235:2000/udp/239.16.10.106:2000
=1&authid=0
